Nom du compte,Type de compte,Classification du compte,Numéro de compte,Symbole,Bourse,MIC,Nom,Type,Quantité,Direction de position,Prix du marché,Devise du prix,Valeur comptable (CAD),Devise de la valeur comptable (CAD),Valeur comptable (Marché),Devise de la valeur comptable (Marché),Valeur marchande,Devise de la valeur marchande,Rendements non réalisés du marché,Devise des rendements non réalisés du marché
DEMO-ALL,TFSA,,0000000000,AAPL,NASDAQ,XNAS,Apple Inc.,EQUITY,10,long,180.00,USD,2055.00,CAD,1500.00,USD,1800.00,USD,300.00,USD
DEMO-ALL,TFSA,,0000000000,MSFT,NASDAQ,XNAS,Microsoft Corporation,EQUITY,8,long,425.00,USD,4164.80,CAD,3040.00,USD,3400.00,USD,360.00,USD
DEMO-ALL,TFSA,,0000000000,NVDA,NASDAQ,XNAS,NVIDIA Corporation,EQUITY,3,long,950.00,USD,3699.00,CAD,2700.00,USD,2850.00,USD,150.00,USD
DEMO-ALL,TFSA,,0000000000,GOOGL,NASDAQ,XNAS,Alphabet Inc. Class A,EQUITY,5,long,180.00,USD,1095.00,CAD,800.00,USD,900.00,USD,100.00,USD
DEMO-ALL,TFSA,,0000000000,RY.TO,TSX,XTSE,Royal Bank of Canada,EQUITY,15,long,140.00,CAD,1950.00,CAD,1950.00,CAD,2100.00,CAD,150.00,CAD
DEMO-ALL,TFSA,,0000000000,SHOP.TO,TSX,XTSE,Shopify Inc.,EQUITY,12,long,95.00,CAD,1200.00,CAD,1200.00,CAD,1140.00,CAD,-60.00,CAD
DEMO-ALL,TFSA,,0000000000,VOO,NYSEARCA,ARCX,Vanguard S&P 500 ETF,EXCHANGE_TRADED_FUND,5,long,555.00,USD,3425.00,CAD,2500.00,USD,2775.00,USD,275.00,USD
DEMO-ALL,TFSA,,0000000000,QQQ,NASDAQ,XNAS,Invesco QQQ Trust,EXCHANGE_TRADED_FUND,4,long,510.00,USD,2467.20,CAD,1800.00,USD,2040.00,USD,240.00,USD
DEMO-ALL,TFSA,,0000000000,XIC.TO,TSX,XTSE,iShares Core S&P/TSX Capped Composite Index ETF,EXCHANGE_TRADED_FUND,50,long,36.00,CAD,1650.00,CAD,1650.00,CAD,1800.00,CAD,150.00,CAD
DEMO-ALL,TFSA,,0000000000,VAB.TO,TSX,XTSE,Vanguard Canadian Aggregate Bond Index ETF,EXCHANGE_TRADED_FUND,30,long,24.50,CAD,720.00,CAD,720.00,CAD,735.00,CAD,15.00,CAD
DEMO-ALL,TFSA,,0000000000,BTC,CRYPTO,,Bitcoin,CRYPTOCURRENCY,0.05,long,67000.00,USD,3425.00,CAD,2500.00,USD,3350.00,USD,850.00,USD
DEMO-ALL,TFSA,,0000000000,ETH,CRYPTO,,Ethereum,CRYPTOCURRENCY,1.2,long,3500.00,USD,5754.00,CAD,4200.00,USD,4200.00,USD,0.00,USD
DEMO-ALL,TFSA,,0000000000,GOC2034,TSX,XTSE,Government of Canada Bond 5.0% 2034-06-01,FIXED_INCOME,20,long,98.50,CAD,2000.00,CAD,2000.00,CAD,1970.00,CAD,-30.00,CAD
DEMO-ALL,TFSA,,0000000000,RY-CORP-2030,TSX,XTSE,Royal Bank of Canada Corporate Bond 4.5% 2030-09-15,FIXED_INCOME,10,long,101.20,CAD,1000.00,CAD,1000.00,CAD,1012.00,CAD,12.00,CAD
DEMO-ALL,TFSA,,0000000000,GLD-COMM,NYSEARCA,ARCX,SPDR Gold Trust (Commodity Exposure),COMMODITY,12,long,225.00,USD,3500.00,CAD,2550.00,USD,2700.00,USD,150.00,USD
